Year,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,TotalPreHarvestPop,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,AdultMaleHarvest,YearlingMaleHarvest,FawnMaleHarvest,AdultFemaleHarvest,YearlingFemaleHarvest,FawnFemaleHarvest,AdultMaleTested,YearlingMaleTested,FawnMaleTested,AdultFemaleTested,YearlingFemaleTested,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,CWDArea,MaxDistSpark
1,6616,6275,9632,16284,7209,9754,55770,0,0,1,1,0,1,3,2464,2044,734,1915,1602,865,933,607,76,755,484,87,0,0,0,0,1,0
2,7493,6163,9739,16297,7247,9708,56647,0,0,3,2,1,1,7,2774,2088,827,1968,1627,850,1121,644,59,804,514,78,1,0,0,0,2,1
3,7865,6108,9709,16099,7205,9656,56642,1,1,0,4,0,0,6,2910,2024,776,1859,1565,852,1216,624,74,737,464,81,2,1,1,0,2,12.6
4,8123,6214,9817,16309,7153,9600,57216,2,2,0,8,0,0,12,2980,2017,778,1894,1560,875,1183,630,77,761,472,88,3,0,1,0,7,12.6
5,8309,6274,9779,16286,7147,9884,57679,4,1,2,16,4,9,36,3041,2059,781,1870,1567,975,1221,600,77,757,493,88,8,2,1,0.001,13,12.6
6,8442,6250,9776,16366,7232,9677,57743,4,4,9,21,11,10,59,3138,2090,769,1930,1655,886,1262,628,90,759,484,98,11,3,1,0.001,25,12.6
7,8427,6307,9831,16378,7121,9963,58027,16,7,11,32,11,4,81,3078,2127,719,1875,1513,856,1240,659,72,740,460,93,16,4,1,0.001,38,14.6
8,8468,6388,9874,16404,7352,9776,58262,35,12,15,47,12,20,141,3236,2106,794,1918,1603,823,1272,577,62,730,490,86,28,8,1,0.002,58,26.6
9,8458,6215,9939,16498,7288,9893,58291,59,18,18,69,15,15,194,3109,2069,832,1998,1609,893,1236,654,97,877,500,99,47,21,1,0.006,87,26.6
10,8443,6413,9831,16431,7335,9771,58224,103,23,28,111,33,31,329,3096,2088,796,1908,1578,841,1186,623,79,735,462,80,67,23,1,0.007,132,31.4
1,6634,6296,9706,16275,7121,9642,55674,0,0,1,0,0,0,1,2492,2082,716,1942,1496,883,985,615,74,786,438,79,0,0,0,0,1,0
2,7480,6243,9935,16131,7193,9680,56662,0,0,0,0,0,0,0,2817,2076,810,1936,1565,840,1126,592,96,744,499,86,0,0,0,0,0,7
3,7847,6345,9602,16019,7208,9560,56581,0,0,0,0,0,0,0,2905,2118,777,1908,1576,893,1170,659,78,728,455,88,0,0,0,0,0,7
4,8147,6088,9435,16083,7096,9665,56514,0,0,0,0,0,0,0,3024,1963,723,1905,1620,889,1211,577,69,773,462,99,0,0,0,0,0,7
5,8210,6126,9640,15791,7189,9480,56436,0,0,0,0,0,0,0,3008,2005,799,1897,1547,874,1186,607,85,744,461,84,0,0,0,0,0,7
6,8321,6146,9632,16067,7029,9468,56663,0,0,0,0,0,0,0,3086,2057,752,1838,1539,856,1216,616,72,771,443,81,0,0,0,0,0,7
7,8278,6176,9639,16077,7009,9639,56818,0,0,0,0,0,0,0,3072,2008,742,1846,1551,875,1196,632,81,751,441,90,0,0,0,0,0,7
8,8332,6200,9457,16141,7110,9809,57049,0,0,0,0,0,0,0,3045,2053,773,1846,1501,916,1187,600,79,723,435,86,0,0,0,0,0,7
9,8315,6067,9680,16223,7262,9734,57281,0,0,0,0,0,0,0,3068,2007,757,1977,1592,821,1169,601,74,780,467,77,0,0,0,0,0,7
10,8249,6184,9683,16318,7260,9796,57490,0,0,0,0,0,0,0,3038,2028,821,1910,1592,874,1215,546,82,756,496,71,0,0,0,0,0,7
1,6682,6192,9662,16221,7189,9751,55697,1,0,2,2,1,0,6,2540,2084,755,1992,1590,882,1018,631,86,767,496,73,0,0,0,0,2,0
2,7382,6181,9450,15969,7259,9632,55873,3,3,5,8,0,3,22,2739,1996,766,1817,1597,858,1144,578,87,724,461,74,5,0,0,0,7,10.6
3,7837,5950,9562,15965,7141,9620,56075,11,0,1,5,1,4,22,2901,1910,705,1861,1542,856,1152,565,75,753,444,99,4,3,1,0.001,9,12
4,8047,6197,9706,16110,7123,9640,56823,10,0,2,4,3,2,21,3001,1994,769,1950,1589,848,1208,612,87,783,446,81,3,2,1,0.001,8,22.2
