Year,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,TotalPreHarvestPop,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,AdultMaleHarvest,YearlingMaleHarvest,FawnMaleHarvest,AdultFemaleHarvest,YearlingFemaleHarvest,FawnFemaleHarvest,AdultMaleTested,YearlingMaleTested,FawnMaleTested,AdultFemaleTested,YearlingFemaleTested,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,CWDArea,MaxDistSpark
1,6635,6278,9766,16280,7161,9756,55876,1,0,1,1,0,1,4,2465,3505,744,1910,1526,908,1012,1049,90,749,468,102,1,1,1,0,1,0
2,6186,6243,9730,16324,7222,9788,55493,0,0,0,1,2,1,4,2346,3447,759,1945,1588,873,943,1072,71,801,519,94,0,0,1,0,2,1
3,5903,6222,9663,16140,7280,9806,55014,0,1,4,5,0,2,12,2176,3430,771,1911,1545,864,870,991,72,772,489,104,1,0,1,0,5,2.8
4,5847,6252,9713,16228,7272,9735,55047,4,1,0,7,3,4,19,2190,3486,723,1920,1654,825,896,1008,66,820,515,76,4,2,1,0.001,8,3.6
5,5775,6227,9656,16037,7350,9657,54702,9,5,10,21,4,16,65,2139,3312,781,1993,1631,880,835,1026,70,790,476,85,17,4,1,0.001,13,3.6
6,5812,6063,9523,16118,7187,9733,54436,11,12,17,31,12,7,90,2142,3333,787,1937,1543,839,824,1012,74,743,453,99,20,7,1,0.002,25,5.4
7,5627,6056,9495,16063,7244,9725,54210,33,6,15,33,4,14,105,2079,3322,792,1833,1531,881,839,1004,74,747,462,81,23,10,1,0.003,26,52.5
8,5603,6045,9583,16278,7185,9751,54445,21,14,18,54,16,26,149,2129,3338,762,1883,1536,880,883,960,66,763,453,95,21,5,1,0.002,41,52.5
9,5523,6098,9829,16232,7224,9734,54640,30,20,29,84,28,30,221,1977,3430,773,1899,1596,907,764,1004,83,805,465,109,44,11,1,0.003,60,52.5
10,5579,6277,9664,16066,7221,9559,54366,41,36,43,127,42,49,338,2036,3490,767,1904,1589,837,835,1032,82,779,462,75,76,21,1,0.006,93,52.5
1,6656,6234,9896,16293,7142,9791,56012,0,1,0,0,0,0,1,2496,3372,813,1913,1562,904,995,1024,78,746,490,105,0,0,0,0,1,0
2,6227,6329,9600,16166,7279,9821,55422,0,0,0,0,0,0,0,2230,3431,765,1879,1627,957,886,1020,65,765,450,98,0,0,0,0,0,1
3,6157,6155,9541,16132,7224,9782,54991,0,0,0,0,0,0,0,2256,3365,764,1928,1578,932,868,985,62,738,471,95,0,0,0,0,0,1
4,5994,6102,9742,16259,7265,9894,55256,0,0,0,0,0,0,0,2287,3407,759,1870,1602,885,913,1007,77,762,493,88,0,0,0,0,0,1
5,5697,6267,9990,16435,7327,9900,55616,0,0,0,0,0,0,0,2058,3396,775,1926,1571,900,847,1051,77,739,446,94,0,0,0,0,0,1
6,5820,6479,9759,16597,7284,10137,56076,0,0,0,0,0,0,0,2108,3605,760,1964,1543,919,836,1108,81,793,457,97,0,0,0,0,0,1
7,5871,6203,10018,16614,7521,9909,56136,0,0,0,0,0,0,0,2224,3403,818,1972,1661,879,904,1020,96,799,474,87,0,0,0,0,0,1
8,5745,6441,9852,16784,7377,10117,56316,0,0,0,0,0,0,0,2148,3573,801,1902,1608,958,861,1064,75,786,470,94,0,0,0,0,0,1
9,5722,6335,10086,16950,7473,10040,56606,0,0,0,0,0,0,0,2111,3498,788,2059,1636,856,864,1025,76,840,497,71,0,0,0,0,0,1
10,5731,6402,10211,16981,7517,10062,56904,0,0,0,0,0,0,0,2112,3567,831,2002,1651,974,858,1076,76,791,520,102,0,0,0,0,0,1
1,6637,6287,9843,16329,7195,9752,56043,0,0,0,0,0,0,0,2431,3394,784,1994,1596,878,945,998,94,837,457,96,0,0,0,0,0,0
2,6330,6338,9762,16137,7246,9586,55399,0,0,0,0,0,0,0,2336,3375,755,1885,1560,865,901,1048,78,772,480,83,0,0,0,0,0,4
3,6215,6203,9845,16057,7094,9508,54922,0,0,0,0,0,0,0,2293,3469,745,1922,1579,875,927,1030,81,745,452,93,0,0,0,0,0,4
4,5913,6304,9527,16108,7002,9666,54520,0,0,0,0,0,0,0,2188,3371,806,1897,1577,860,859,1002,73,764,466,90,0,0,0,0,0,4
5,5923,6049,9719,16068,7168,9546,54473,0,0,0,0,0,0,0,2201,3342,791,1928,1554,828,904,1028,84,775,451,92,0,0,0,0,0,4
6,5710,6239,9670,16140,7168,9659,54586,0,0,0,0,0,0,0,2148,3427,761,1862,1552,904,818,1093,83,774,460,77,0,0,0,0,0,4
7,5718,6172,9657,16253,7217,9733,54750,0,0,0,0,0,0,0,2116,3393,765,1962,1536,868,810,984,74,750,481,87,0,0,0,0,0,4
8,5708,6224,9953,16329,7217,9677,55108,0,0,0,0,0,0,0,2093,3418,779,1909,1580,870,846,1021,77,766,455,81,0,0,0,0,0,4
9,5702,6315,9675,16184,7130,9824,54830,0,0,0,0,0,0,0,2021,3460,709,1907,1539,887,823,983,78,762,446,85,0,0,0,0,0,4
10,5833,6319,9698,16140,7294,9704,54988,0,0,0,0,0,0,0,2130,3423,745,1913,1612,872,861,965,70,781,514,83,0,0,0,0,0,4
1,6649,6242,10012,16370,7179,9750,56202,0,1,0,1,0,0,2,2429,3372,818,1951,1557,922,956,979,63,800,470,80,1,0,0,0,0,0
2,6353,6425,9668,16138,7130,9686,55400,0,2,0,3,1,3,9,2374,3578,780,1976,1528,849,962,1040,74,820,443,82,2,0,0,0,2,1
3,6075,6263,9628,15930,7228,9485,54609,7,1,4,5,2,1,20,2188,3408,821,1879,1592,868,923,1025,78,776,445,94,1,1,1,0,10,1.4
4,5977,6136,9567,16099,7050,9609,54438,14,7,2,14,1,3,41,2147,3427,782,1840,1544,843,843,961,91,736,459,102,8,4,1,0.001,16,3.6
5,5867,6106,9491,15976,7153,9629,54222,23,4,4,27,8,13,79,2207,3335,770,1835,1538,882,891,1007,97,730,483,102,18,1,1,0,28,22.6
6,5731,6101,9411,16080,7111,9618,54052,32,13,12,44,11,12,124,2087,3298,777,1958,1510,817,835,996,61,808,440,90,38,12,1,0.004,41,22.6
7,5751,6073,9571,16135,7223,9658,54411,57,13,23,72,24,34,223,2179,3307,759,1891,1584,878,905,996,73,746,454,86,46,21,1,0.006,85,24.2
8,5656,6086,9767,16295,7214,9685,54703,81,44,58,163,56,56,458,2054,3364,759,1894,1658,854,820,985,93,764,523,86,105,36,1,0.011,150,24.2
9,5636,6197,9674,16290,7092,9645,54534,105,60,90,239,70,99,663,2098,3425,767,1899,1515,857,869,976,80,780,439,99,128,40,1,0.012,202,24.2
10,5596,6115,9796,16193,7120,9680,54500,157,105,145,401,116,126,1050,2069,3397,804,1961,1556,920,849,1038,79,740,470,95,215,64,1,0.02,313,37.5
1,6648,6302,9642,16336,7121,9671,55720,0,0,0,0,0,0,0,2451,3472,761,1893,1551,845,1020,1031,94,760,454,93,0,0,0,0,0,0
2,6280,6135,9777,16200,7250,9762,55404,0,0,0,0,0,0,0,2323,3366,770,1930,1610,860,985,1058,65,762,501,87,0,0,0,0,0,2
3,6043,6268,9557,16055,7274,9645,54842,0,0,0,0,0,0,0,2267,3431,741,1931,1560,864,920,985,74,748,482,93,0,0,0,0,0,2
4,5893,6083,9713,16190,7183,9726,54788,0,0,0,0,0,0,0,2178,3344,781,1882,1574,840,849,1014,79,738,459,84,0,0,0,0,0,2
5,5769,6218,9742,16206,7243,9740,54918,0,0,0,0,0,0,0,2124,3474,761,1840,1589,905,855,1023,82,741,463,95,0,0,0,0,0,2
6,5719,6203,9858,16350,7181,9514,54825,0,0,0,0,0,0,0,2169,3354,804,1993,1567,849,857,1023,82,816,457,89,0,0,0,0,0,2
7,5691,6354,9697,16349,7085,9591,54767,0,0,0,0,0,0,0,2125,3529,757,1996,1600,863,892,1060,62,765,463,90,0,0,0,0,0,2
8,5751,6191,9652,16200,7065,9799,54658,0,0,0,0,0,0,0,2126,3434,741,1887,1564,897,874,1039,78,732,479,102,0,0,0,0,0,2
9,5698,6201,9605,16155,7292,9589,54540,0,0,0,0,0,0,0,2100,3369,774,1845,1507,833,843,1009,74,737,456,76,0,0,0,0,0,2
10,5724,6114,9815,16384,7198,9913,55148,0,0,0,0,0,0,0,2071,3438,742,1858,1590,937,845,1018,67,730,474,98,0,0,0,0,0,2
1,6681,6289,9584,16286,7181,9871,55892,0,1,0,0,0,0,1,2551,3440,797,1897,1575,851,1030,1044,82,731,465,84,0,0,0,0,1,0
2,6252,6042,9745,16212,7388,9775,55414,2,0,0,0,0,0,2,2311,3292,767,1901,1582,892,895,990,77,758,461,91,2,1,1,0,0,5
3,6010,6246,9676,16187,7347,9957,55423,0,0,0,0,0,0,0,2293,3421,771,2022,1600,879,938,1020,79,855,484,96,0,0,1,0,0,6.1
4,5843,6236,9706,16227,7400,9816,55228,0,0,0,0,0,0,0,2097,3360,752,1912,1620,904,852,1019,76,795,509,102,0,0,1,0,0,6.1
5,5919,6250,9825,16311,7299,9711,55315,0,0,0,0,0,0,0,2169,3429,779,1869,1626,873,884,1011,69,748,501,84,0,0,1,0,0,6.1
6,5839,6258,9826,16437,7226,9971,55557,0,0,0,0,0,0,0,2151,3422,798,1932,1595,871,867,1033,79,752,491,82,0,0,1,0,0,6.1
7,5811,6329,9767,16419,7405,9867,55598,0,0,0,0,0,0,0,2100,3479,786,1970,1655,866,862,975,83,756,513,90,0,0,1,0,0,6.1
8,5829,6236,9873,16550,7318,9937,55743,0,0,0,0,0,0,0,2185,3486,770,2027,1615,839,845,1020,81,837,486,81,0,0,1,0,0,6.1
9,5684,6262,9767,16557,7421,9905,55596,0,0,0,0,0,0,0,2165,3414,766,1945,1626,881,875,1051,75,771,468,95,0,0,1,0,0,6.1
10,5708,6335,9894,16747,7343,9998,56025,0,0,0,0,0,0,0,2110,3459,799,2042,1624,889,848,1063,89,808,498,88,0,0,1,0,0,6.1
1,6662,6240,9675,16301,7201,9800,55879,0,0,1,0,1,0,2,2473,3370,736,1784,1541,804,950,1026,75,694,439,98,0,0,0,0,1,0
2,6291,6294,9825,16351,7367,9922,56050,0,0,0,3,0,0,3,2345,3522,775,1936,1678,928,952,1067,68,775,495,80,1,1,1,0,2,5.8
3,5976,6282,9762,16172,7289,9778,55259,0,0,0,0,0,0,0,2330,3532,758,1882,1652,913,945,1049,85,763,473,99,0,0,1,0,0,6.3
4,5678,6286,9723,16226,7348,9741,55002,0,0,0,0,0,0,0,2104,3460,799,1926,1660,866,844,1078,88,762,484,74,0,0,1,0,0,6.3
5,5707,6231,9689,16394,7165,9759,54945,0,0,0,0,0,0,0,2046,3423,807,1943,1570,846,819,988,85,764,477,85,0,0,1,0,0,6.3
6,5777,6220,9802,16330,7284,9856,55269,0,0,0,0,0,0,0,2125,3519,763,1881,1572,952,867,1077,64,751,512,66,0,0,1,0,0,6.3
7,5706,6328,9839,16403,7340,9877,55493,0,0,0,0,0,0,0,2081,3449,794,1982,1531,876,872,1021,79,795,460,104,0,0,1,0,0,6.3
8,5820,6238,9628,16461,7359,9717,55223,0,0,0,0,0,0,0,2163,3501,798,1876,1616,881,885,1082,79,735,462,75,0,0,1,0,0,6.3
9,5717,6065,9919,16369,7283,10013,55366,0,0,0,0,0,0,0,2072,3303,783,1914,1599,939,828,968,91,778,477,95,0,0,1,0,0,6.3
10,5721,6331,9783,16463,7358,9788,55444,0,0,0,0,0,0,0,2111,3438,729,1942,1628,877,881,989,58,767,527,88,0,0,1,0,0,6.3
1,6677,6302,9730,16199,7128,9635,55671,0,1,0,0,0,0,1,2426,3398,790,1892,1598,843,1005,1080,77,801,456,94,0,0,0,0,1,0
2,6334,6243,9591,15904,7084,9292,54448,0,0,0,0,0,0,0,2400,3398,753,1860,1594,828,909,999,76,702,482,97,0,0,0,0,0,3.6
3,6075,6171,9527,15721,6964,9539,53997,0,0,0,0,0,0,0,2286,3407,772,1818,1590,878,925,1024,83,750,480,79,0,0,0,0,0,3.6
4,5833,6092,9434,15747,7104,9470,53680,0,0,0,0,0,0,0,2131,3383,762,1868,1558,905,876,983,66,743,474,89,0,0,0,0,0,3.6
5,5735,6026,9408,15801,6992,9462,53424,0,0,0,0,0,0,0,2180,3227,788,1824,1533,815,855,984,70,756,465,77,0,0,0,0,0,3.6
6,5659,6007,9459,15836,7075,9462,53498,0,0,0,0,0,0,0,2137,3325,731,1885,1557,877,838,985,75,772,460,104,0,0,0,0,0,3.6
