Year,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,TotalPreHarvestPop,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,AdultMaleHarvest,YearlingMaleHarvest,FawnMaleHarvest,AdultFemaleHarvest,YearlingFemaleHarvest,FawnFemaleHarvest,AdultMaleTested,YearlingMaleTested,FawnMaleTested,AdultFemaleTested,YearlingFemaleTested,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,CWDArea,MaxDistSpark,cum-trans
1,6643,6241,9819,16274,7086,9715,55778,0,0,0,0,0,0,0,2402,2946,779,1941,1528,874,969,905,73,743,446,88,0,0,0,0,0,0,0
2,6709,6325,9484,16002,7173,9870,55563,0,0,0,0,0,0,0,2465,2901,773,1877,1548,863,994,856,89,765,464,93,0,0,0,0,0,2,0
3,6814,6099,9582,15925,7418,9595,55433,0,0,0,0,0,0,0,2501,2837,793,1918,1660,887,1045,884,82,756,514,96,0,0,0,0,0,2,0
4,6764,6113,9827,16272,7106,9584,55666,0,0,0,0,0,0,0,2498,2842,822,1918,1590,878,984,772,71,785,488,98,0,0,0,0,0,2,0
5,6727,6281,9413,16040,7062,9759,55282,0,0,0,0,0,0,0,2559,2863,697,1904,1578,865,1004,858,71,771,498,88,0,0,0,0,0,2,0
6,6729,6059,9565,16016,7267,9622,55258,0,0,0,0,0,0,0,2552,2862,738,1811,1583,819,1030,898,83,701,455,87,0,0,0,0,0,2,0
7,6546,6200,9700,16217,7155,9806,55624,0,0,0,0,0,0,0,2345,2903,845,1928,1545,840,951,902,66,803,464,88,0,0,0,0,0,2,0
8,6667,6235,9653,16235,7239,9747,55776,0,0,0,0,0,0,0,2495,2861,775,2013,1567,856,1039,839,78,817,469,76,0,0,0,0,0,2,0
9,6697,6073,9564,16216,7237,9749,55536,0,0,0,0,0,0,0,2560,2734,783,1960,1595,879,999,842,67,780,464,82,0,0,0,0,0,2,0
10,6664,6137,9699,16097,7188,9831,55616,0,0,0,0,0,0,0,2474,2897,770,1956,1543,901,998,871,78,801,449,100,0,0,0,0,0,2,0
1,6687,6369,9783,16176,7152,9641,55808,0,1,0,0,0,0,1,2521,3043,799,1907,1523,858,1019,906,75,745,443,85,0,0,0,0,1,0,0
2,6695,6332,9682,16231,7228,9677,55845,0,0,0,0,0,0,0,2497,3016,726,1883,1622,805,1000,908,79,730,493,71,0,0,0,0,0,1,1
3,6703,6234,9639,16121,7231,9698,55626,0,0,0,0,0,0,0,2495,2939,759,1875,1560,881,1000,882,73,726,473,93,0,0,0,0,0,1,1
4,6739,6186,9702,16236,7136,9781,55780,0,0,0,0,0,0,0,2517,2866,795,1976,1586,873,996,816,90,769,472,89,0,0,0,0,0,1,1
5,6707,6172,9689,16108,7280,9618,55574,0,0,0,0,0,0,0,2472,2870,771,1867,1640,912,988,945,53,703,509,87,0,0,0,0,0,1,1
6,6729,6137,9725,16215,7115,9674,55595,0,0,0,0,0,0,0,2533,2875,765,1904,1604,902,1025,858,78,739,499,90,0,0,0,0,0,1,1
7,6666,6179,9786,16197,7191,9804,55823,0,0,0,0,0,0,0,2473,2957,720,1877,1655,894,962,885,66,763,522,84,0,0,0,0,0,1,1
8,6611,6281,9684,16153,7285,9796,55810,0,0,0,0,0,0,0,2495,2968,766,1961,1633,889,983,887,74,774,493,110,0,0,0,0,0,1,1
9,6630,6153,9808,16231,7217,9633,55672,0,0,0,0,0,0,0,2542,2936,769,1916,1571,879,1030,881,70,798,462,94,0,0,0,0,0,1,1
10,6544,6251,9656,16365,7162,9837,55815,0,0,0,0,0,0,0,2340,2989,761,1896,1611,830,965,908,71,759,497,81,0,0,0,0,0,1,1
1,6671,6301,9635,16198,7151,9762,55718,0,1,0,0,0,0,1,2408,2884,766,1904,1569,874,956,915,65,760,487,98,0,0,0,0,1,0,0
2,6845,6192,9709,15988,7264,9763,55761,7,0,0,0,0,0,7,2518,2872,817,1919,1634,877,988,864,84,779,480,86,2,0,0,0,4,4.5,7
3,6825,6167,9597,15884,7198,9536,55207,7,0,0,1,0,0,8,2474,2884,735,1851,1600,817,1006,901,81,720,452,81,2,1,1,0,5,5,12
4,6853,6125,9502,15904,7128,9689,55201,6,0,1,3,0,0,10,2520,2883,733,1838,1558,864,1007,843,85,738,469,89,1,1,1,0,6,5,18
5,6759,6087,9582,15838,7206,9545,55017,11,2,1,9,1,1,25,2480,2854,805,1848,1588,847,988,887,87,730,467,82,9,3,1,0.001,6,19.7,42
6,6707,6080,9521,16062,7058,9658,55086,9,4,2,14,4,4,37,2475,2847,772,1941,1575,879,960,881,77,778,492,93,9,2,1,0.001,17,23.3,69
7,6672,6057,9705,16059,7114,9650,55257,11,7,5,21,8,7,59,2528,2826,772,1980,1618,869,1025,816,97,791,483,89,19,5,1,0.002,25,23.3,132
8,6571,6150,9535,15949,7155,9497,54857,18,7,6,19,9,9,68,2393,2978,748,1922,1599,820,945,887,87,732,495,82,14,3,1,0.001,32,41,197
