Year,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,TotalPreHarvestPop,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,AdultMaleHarvest,YearlingMaleHarvest,FawnMaleHarvest,AdultFemaleHarvest,YearlingFemaleHarvest,FawnFemaleHarvest,AdultMaleTested,YearlingMaleTested,FawnMaleTested,AdultFemaleTested,YearlingFemaleTested,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,CWDArea,MaxDistSpark,cum-trans
1,6643,6265,9816,16289,7118,9596,55727,0,1,0,0,0,0,1,2465,2975,783,1885,1580,880,974,871,80,766,439,81,0,0,0,0,1,0,0
2,6657,6226,9645,16046,7120,9644,55338,5,0,0,2,0,0,7,2478,2966,771,1879,1609,882,981,866,85,721,509,84,2,0,0,0,3,6.4,8
3,6593,6192,9557,15919,7166,9522,54949,5,0,0,1,0,0,6,2456,2867,763,1969,1529,904,972,913,74,783,457,99,2,1,1,0,2,6.4,11
4,6698,6117,9616,16064,7077,9569,55141,2,0,0,0,0,1,3,2467,2871,726,1876,1513,811,935,843,77,760,425,88,1,1,1,0,2,6.4,13
5,6697,6265,9396,15888,7205,9788,55239,0,0,0,0,0,0,0,2446,3009,747,1796,1575,880,975,888,73,717,483,99,0,0,1,0,0,6.4,13
6,6728,5981,9609,16067,7305,9669,55359,0,0,0,0,0,0,0,2456,2745,769,1933,1601,872,949,854,66,759,463,96,0,0,1,0,0,6.4,13
7,6702,6207,9807,16110,7155,9731,55712,0,0,0,0,0,0,0,2476,2955,798,1919,1548,866,954,882,84,755,431,96,0,0,1,0,0,6.4,13
8,6671,6294,9703,16131,7269,9660,55728,0,0,0,0,0,0,0,2502,2906,828,1908,1494,846,999,818,77,759,454,78,0,0,1,0,0,6.4,13
9,6763,6196,9759,16326,7158,9683,55885,0,0,0,0,0,0,0,2460,2900,777,1961,1545,878,997,846,83,782,454,89,0,0,1,0,0,6.4,13
10,6779,6227,9931,16257,7156,9714,56064,0,0,0,0,0,0,0,2455,2942,769,1921,1639,855,1000,868,71,794,518,78,0,0,1,0,0,6.4,13
