posth_mf,posth_my,posth_ma,posth_ff,posth_fy,posth_fa,posth_total,preh_mf,preh_my,preh_ma,preh_ff,preh_fy,preh_fa,preh_total,lambda,mf_harvest,my_harvest,ma_harvest,ff_harvest,fy_harvest,fa_harvest,total_harvest
4063,3412,5993,4068,5102,11122,33760
3797,3378,5928,3892,5102,10893,32990,8250,2849,8419,7993,3319,13310,44140,NA,647,1308,3060,701,728,1525,7969
6494,1501,5219,6543,2591,11296,33644,7330,4863,6071,7193,5654,11474,42585,0.965,560,2203,2242,585,1229,1312,8131
5785,2587,3748,5918,4425,9745,32208,7545,4340,5696,7508,5026,11880,41995,0.986,550,2038,2079,669,1088,1385,7809
6025,2244,3514,6167,3938,10054,31942,7479,4495,5175,7186,5286,11640,41261,0.983,543,2108,1893,618,1154,1350,7666
5975,2310,3207,5921,4132,9899,31444,8013,4443,5411,7959,5108,13826,44760,1.085,591,2146,1961,719,1083,1591,8091
6399,2230,3450,6518,4025,12235,34857,9054,4792,5486,8826,5544,15167,48869,1.092,677,2223,1986,727,1205,1850,8668
7192,2489,3482,7302,4339,13089,37893,9532,5396,5576,9354,6228,15871,51957,1.063,709,2514,2053,842,1345,1913,9376
7587,2789,3466,7675,4883,13702,40102,10082,5725,5793,9914,6627,16424,54565,1.05,784,2716,2136,838,1472,1916,9862
7940,2934,3591,8141,5155,14103,41864,10376,5897,6042,10181,6976,16707,56179,1.03,777,2778,2214,864,1468,1926,10027
8301,3024,3751,8410,5508,14333,43327,10488,6173,6182,10306,7186,16870,57205,1.018,763,2846,2226,886,1531,1966,10218
8404,3225,3850,8443,5655,14336,43913,10821,6273,6412,10454,7192,17276,58428,1.021,780,2955,2396,859,1622,2018,10630
8630,3229,3929,8609,5570,14755,44722,10880,6535,6516,10790,7356,17187,59264,1.014,779,3008,2428,922,1644,2019,10800
8650,3438,4003,8847,5712,14578,45228,10655,6482,6746,10556,7595,16961,58995,0.995,798,3052,2483,882,1703,1966,10884
8487,3325,4157,8718,5892,14382,44961,10838,6365,6767,10598,7510,17042,59120,1.002,821,2996,2503,927,1650,2025,10922
8574,3306,4158,8663,5860,14414,44975,10846,6394,6753,10518,7412,17068,58991,0.998,808,3068,2477,949,1629,2021,10952
8616,3235,4154,8624,5783,14482,44894,10657,6461,6713,10465,7435,16899,58630,0.994,792,3052,2464,912,1667,1952,10839
8515,3322,4158,8575,5768,14303,44641,10677,6359,6748,10414,7347,16796,58341,0.995,791,2944,2437,891,1538,2025,10626
8459,3330,4200,8535,5809,14169,44502,10536,6320,6851,10577,7276,16606,58166,0.997,783,2880,2474,938,1593,1947,10615
8397,3352,4272,8656,5683,14049,44409,10454,6248,6876,10254,7400,16624,57856,0.995,738,2875,2539,856,1670,1953,10631
