pre-harvest_total,adult_prop,yearling_prop,fawn_prop,f:m_ratio,lambda
44140,0.49,0.14,0.37,1.26,NA
42585,0.41,0.25,0.34,1.33,0.965
41995,0.42,0.22,0.36,1.39,0.986
41261,0.41,0.24,0.36,1.41,0.983
44760,0.43,0.21,0.36,1.51,1.085
48869,0.42,0.21,0.37,1.53,1.092
51957,0.41,0.22,0.36,1.53,1.063
54565,0.41,0.23,0.37,1.53,1.05
56179,0.4,0.23,0.37,1.52,1.03
57205,0.4,0.23,0.36,1.5,1.018
58428,0.41,0.23,0.36,1.49,1.021
59264,0.4,0.23,0.37,1.48,1.014
58995,0.4,0.24,0.36,1.47,0.995
59120,0.4,0.23,0.36,1.47,1.002
58991,0.4,0.23,0.36,1.46,0.998
58630,0.4,0.24,0.36,1.46,0.994
58341,0.4,0.23,0.36,1.45,0.995
58166,0.4,0.23,0.36,1.45,0.997
57856,0.41,0.24,0.36,1.45,0.995
57596,0.4,0.23,0.36,1.44,0.996
57377,0.4,0.23,0.36,1.45,0.996
57156,0.41,0.23,0.36,1.45,0.996
57232,0.41,0.23,0.36,1.46,1.001
56529,0.4,0.24,0.36,1.46,0.988
56119,0.4,0.24,0.36,1.45,0.993
43698,0.49,0.14,0.37,1.27,NA
41931,0.41,0.25,0.34,1.32,0.96
41307,0.42,0.23,0.36,1.37,0.985
40431,0.41,0.24,0.35,1.41,0.979
43155,0.43,0.21,0.35,1.48,1.067
46464,0.42,0.22,0.36,1.5,1.077
49180,0.41,0.23,0.36,1.51,1.058
51667,0.42,0.22,0.36,1.5,1.051
53402,0.41,0.23,0.37,1.48,1.034
54292,0.41,0.23,0.36,1.48,1.017
55114,0.41,0.23,0.36,1.46,1.015
55676,0.4,0.23,0.36,1.47,1.01
55888,0.41,0.23,0.36,1.47,1.004
56203,0.4,0.23,0.36,1.48,1.006
56152,0.4,0.24,0.36,1.48,0.999
56354,0.4,0.23,0.36,1.47,1.004
56099,0.4,0.24,0.36,1.45,0.995
55866,0.41,0.23,0.36,1.43,0.996
55760,0.41,0.23,0.36,1.45,0.998
55736,0.41,0.23,0.36,1.45,1
55545,0.4,0.23,0.36,1.44,0.997
55046,0.41,0.24,0.36,1.44,0.991
55077,0.41,0.23,0.36,1.45,1.001
54916,0.41,0.24,0.36,1.46,0.997
54822,0.4,0.23,0.36,1.46,0.998
44493,0.49,0.14,0.37,1.27,NA
42829,0.41,0.25,0.34,1.34,0.963
41995,0.42,0.22,0.36,1.41,0.981
41306,0.41,0.23,0.36,1.43,0.984
44421,0.43,0.22,0.36,1.5,1.075
47865,0.42,0.22,0.37,1.53,1.078
50680,0.41,0.22,0.36,1.52,1.059
52832,0.41,0.23,0.36,1.53,1.042
54909,0.41,0.23,0.37,1.53,1.039
55904,0.4,0.23,0.36,1.5,1.018
56561,0.4,0.23,0.36,1.51,1.012
57100,0.4,0.23,0.36,1.49,1.01
57491,0.4,0.24,0.36,1.49,1.007
57681,0.4,0.23,0.36,1.48,1.003
57922,0.4,0.23,0.36,1.47,1.004
57735,0.4,0.24,0.36,1.45,0.997
57541,0.4,0.23,0.36,1.45,0.997
57184,0.4,0.24,0.36,1.46,0.994
57167,0.41,0.23,0.36,1.47,1
57160,0.4,0.23,0.36,1.47,1
57232,0.4,0.23,0.36,1.48,1.001
57301,0.4,0.24,0.36,1.47,1.001
56836,0.4,0.24,0.36,1.46,0.992
56733,0.41,0.23,0.36,1.47,0.998
56471,0.4,0.24,0.36,1.49,0.995
44168,0.49,0.14,0.37,1.27,NA
42573,0.41,0.25,0.34,1.34,0.964
41753,0.42,0.23,0.35,1.38,0.981
40564,0.41,0.23,0.36,1.41,0.972
43557,0.43,0.22,0.35,1.51,1.074
48009,0.42,0.21,0.37,1.53,1.102
51551,0.41,0.22,0.37,1.53,1.074
54311,0.41,0.22,0.37,1.55,1.054
56262,0.4,0.23,0.37,1.54,1.036
57935,0.41,0.23,0.37,1.52,1.03
58992,0.4,0.23,0.36,1.49,1.018
59333,0.4,0.24,0.36,1.48,1.006
59337,0.4,0.24,0.36,1.49,1
59824,0.4,0.24,0.36,1.49,1.008
59411,0.4,0.24,0.36,1.47,0.993
59336,0.41,0.23,0.36,1.46,0.999
59321,0.4,0.23,0.37,1.46,1
59024,0.4,0.24,0.36,1.46,0.995
59048,0.41,0.24,0.36,1.47,1
58981,0.41,0.23,0.36,1.46,0.999
58715,0.4,0.23,0.36,1.46,0.995
58101,0.4,0.24,0.36,1.47,0.99
58204,0.4,0.24,0.36,1.47,1.002
57943,0.4,0.23,0.36,1.47,0.996
57823,0.4,0.23,0.36,1.48,0.998
44378,0.49,0.14,0.37,1.27,NA
42856,0.41,0.25,0.34,1.3,0.966
41669,0.42,0.23,0.35,1.38,0.972
41002,0.41,0.23,0.35,1.39,0.984
43838,0.43,0.21,0.36,1.49,1.069
47609,0.42,0.21,0.36,1.52,1.086
50082,0.41,0.22,0.36,1.51,1.052
52574,0.41,0.23,0.36,1.53,1.05
54250,0.41,0.23,0.37,1.51,1.032
55331,0.4,0.23,0.36,1.49,1.02
56098,0.41,0.23,0.36,1.47,1.014
56688,0.4,0.23,0.36,1.48,1.011
56743,0.41,0.23,0.36,1.47,1.001
56697,0.4,0.23,0.36,1.47,0.999
56537,0.4,0.24,0.36,1.47,0.997
56155,0.4,0.24,0.36,1.46,0.993
55768,0.4,0.24,0.36,1.44,0.993
55105,0.4,0.24,0.36,1.45,0.988
54730,0.4,0.23,0.36,1.46,0.993
54377,0.4,0.24,0.36,1.46,0.994
54426,0.41,0.23,0.36,1.45,1.001
54504,0.4,0.23,0.36,1.45,1.001
54719,0.4,0.24,0.36,1.47,1.004
54278,0.4,0.24,0.36,1.47,0.992
54778,0.4,0.23,0.36,1.46,1.009
44278,0.49,0.14,0.37,1.28,NA
42630,0.41,0.25,0.34,1.35,0.963
41729,0.42,0.22,0.36,1.4,0.979
41056,0.41,0.23,0.36,1.42,0.984
44391,0.43,0.22,0.35,1.49,1.081
48269,0.42,0.21,0.37,1.52,1.087
51739,0.41,0.22,0.36,1.52,1.072
54547,0.41,0.22,0.37,1.53,1.054
56114,0.41,0.23,0.36,1.52,1.029
57725,0.41,0.23,0.37,1.52,1.029
58423,0.4,0.24,0.36,1.49,1.012
59143,0.4,0.23,0.36,1.49,1.012
59064,0.4,0.24,0.36,1.47,0.999
59240,0.4,0.24,0.36,1.46,1.003
59041,0.41,0.23,0.36,1.47,0.997
59290,0.4,0.23,0.36,1.45,1.004
59037,0.4,0.24,0.36,1.45,0.996
58582,0.4,0.24,0.36,1.44,0.992
58099,0.4,0.24,0.36,1.45,0.992
57891,0.4,0.23,0.36,1.45,0.996
57936,0.4,0.24,0.36,1.44,1.001
57708,0.41,0.23,0.36,1.44,0.996
57586,0.4,0.23,0.36,1.44,0.998
57402,0.4,0.24,0.36,1.45,0.997
56736,0.4,0.24,0.36,1.45,0.988
44352,0.49,0.14,0.37,1.28,NA
42708,0.41,0.25,0.34,1.34,0.963
41906,0.42,0.22,0.36,1.41,0.981
41589,0.41,0.24,0.36,1.43,0.992
44752,0.43,0.22,0.36,1.48,1.076
48740,0.43,0.21,0.36,1.52,1.089
51817,0.41,0.22,0.37,1.55,1.063
53859,0.41,0.23,0.36,1.54,1.039
55727,0.4,0.23,0.37,1.53,1.035
56803,0.4,0.23,0.36,1.53,1.019
57744,0.4,0.23,0.37,1.52,1.017
